service_id,date,exception_type
9,20240609,2
71,20240609,2
17,20240610,2
63,20240610,2
17,20240611,2
63,20240611,2
28,20240612,1
59,20240612,2
63,20240612,2
17,20240613,2
28,20240613,1
63,20240613,2
47,20240614,2
63,20240614,2
7,20240615,2
53,20240615,2
22,20240616,2
71,20240616,2
7,20240617,1
17,20240617,2
26,20240617,1
28,20240617,2
33,20240617,2
53,20240617,1
56,20240617,2
63,20240617,2
66,20240617,2
68,20240617,2
75,20240617,1
83,20240617,2
86,20240617,1
97,20240617,2
108,20240617,2
109,20240617,2
113,20240617,1
114,20240617,2
118,20240617,1
119,20240617,1
120,20240617,1
124,20240617,2
125,20240617,2
128,20240617,1
132,20240617,1
133,20240617,2
136,20240617,2
137,20240617,2
138,20240617,2
140,20240617,1
17,20240618,2
66,20240618,2
28,20240619,1
59,20240619,2
66,20240619,2
17,20240620,2
28,20240620,1
66,20240620,2
6,20240621,2
47,20240621,2
7,20240622,2
49,20240622,2
22,20240623,2
71,20240623,2
17,20240624,2
66,20240624,2
17,20240625,2
66,20240625,2
28,20240626,1
59,20240626,2
66,20240626,2
17,20240627,2
28,20240627,1
66,20240627,2
6,20240628,2
47,20240628,2
7,20240629,2
49,20240629,2
22,20240630,2
71,20240630,2
66,20240701,2
68,20240701,2
66,20240702,2
68,20240702,2
28,20240703,1
39,20240703,2
66,20240703,2
28,20240704,1
66,20240704,2
68,20240704,2
6,20240705,2
54,20240705,2
49,20240706,2
58,20240706,2
14,20240707,2
22,20240707,2
66,20240708,2
68,20240708,2
66,20240709,2
68,20240709,2
28,20240710,1
39,20240710,2
66,20240710,2
28,20240711,1
66,20240711,2
68,20240711,2
6,20240712,2
54,20240712,2
49,20240713,2
58,20240713,2
14,20240714,2
22,20240714,2
66,20240715,2
68,20240715,2
66,20240716,2
68,20240716,2
28,20240717,1
39,20240717,2
66,20240717,2
28,20240718,1
66,20240718,2
68,20240718,2
6,20240719,2
54,20240719,2
49,20240720,2
58,20240720,2
14,20240721,2
22,20240721,2
66,20240722,2
68,20240722,2
66,20240723,2
68,20240723,2
28,20240724,1
39,20240724,2
66,20240724,2
28,20240725,1
66,20240725,2
68,20240725,2
6,20240726,2
54,20240726,2
49,20240727,2
58,20240727,2
14,20240728,2
22,20240728,2
66,20240729,2
68,20240729,2
66,20240730,2
68,20240730,2
28,20240731,1
39,20240731,2
66,20240731,2
28,20240801,1
66,20240801,2
68,20240801,2
6,20240802,2
54,20240802,2
49,20240803,2
58,20240803,2
14,20240804,2
22,20240804,2
4,20240805,1
9,20240805,1
17,20240805,2
26,20240805,1
28,20240805,2
33,20240805,2
36,20240805,1
56,20240805,2
63,20240805,2
66,20240805,2
68,20240805,2
71,20240805,1
75,20240805,1
83,20240805,2
86,20240805,1
97,20240805,2
108,20240805,2
109,20240805,2
113,20240805,1
114,20240805,2
118,20240805,1
119,20240805,1
120,20240805,1
122,20240805,1
124,20240805,2
125,20240805,2
128,20240805,1
133,20240805,2
136,20240805,2
137,20240805,2
138,20240805,2
140,20240805,1
66,20240806,2
68,20240806,2
28,20240807,1
39,20240807,2
66,20240807,2
28,20240808,1
66,20240808,2
68,20240808,2
6,20240809,2
54,20240809,2
49,20240810,2
58,20240810,2
14,20240811,2
22,20240811,2
17,20240812,2
66,20240812,2
68,20240812,2
17,20240813,2
66,20240813,2
68,20240813,2
28,20240814,1
39,20240814,2
59,20240814,2
66,20240814,2
